Country Name,Country Code,Series Name,Series Code,2008 [YR2008]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,27722281
Albania,ALB,"Population, total",SP.POP.TOTL,2947314
Algeria,DZA,"Population, total",SP.POP.TOTL,34730604
American Samoa,ASM,"Population, total",SP.POP.TOTL,57490
Andorra,AND,"Population, total",SP.POP.TOTL,83860
Angola,AGO,"Population, total",SP.POP.TOTL,21695636
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,85394
Argentina,ARG,"Population, total",SP.POP.TOTL,40080159
Armenia,ARM,"Population, total",SP.POP.TOTL,2907615
Aruba,ABW,"Population, total",SP.POP.TOTL,101362
Australia,AUS,"Population, total",SP.POP.TOTL,21249200
Austria,AUT,"Population, total",SP.POP.TOTL,8321496
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8763400
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,343680
Bahrain,BHR,"Population, total",SP.POP.TOTL,1114645
Bangladesh,BGD,"Population, total",SP.POP.TOTL,144304164
Barbados,BRB,"Population, total",SP.POP.TOTL,279946
Belarus,BLR,"Population, total",SP.POP.TOTL,9527985
Belgium,BEL,"Population, total",SP.POP.TOTL,10709973
Belize,BLZ,"Population, total",SP.POP.TOTL,306822
Benin,BEN,"Population, total",SP.POP.TOTL,8696915
Bermuda,BMU,"Population, total",SP.POP.TOTL,65273
Bhutan,BTN,"Population, total",SP.POP.TOTL,671611
Bolivia,BOL,"Population, total",SP.POP.TOTL,9721457
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3754261
Botswana,BWA,"Population, total",SP.POP.TOTL,1915636
Brazil,BRA,"Population, total",SP.POP.TOTL,192030362
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,26096
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,379418
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7492561
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,14689725
Burundi,BDI,"Population, total",SP.POP.TOTL,8126104
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,480846
Cambodia,KHM,"Population, total",SP.POP.TOTL,13883835
Cameroon,CMR,"Population, total",SP.POP.TOTL,19252674
Canada,CAN,"Population, total",SP.POP.TOTL,33247118
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,53835
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4273368
Chad,TCD,"Population, total",SP.POP.TOTL,11183589
Channel Islands,CHI,"Population, total",SP.POP.TOTL,156441
Chile,CHL,"Population, total",SP.POP.TOTL,16708255
China,CHN,"Population, total",SP.POP.TOTL,1324655000
Colombia,COL,"Population, total",SP.POP.TOTL,44254972
Comoros,COM,"Population, total",SP.POP.TOTL,657227
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,60411195
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,4011487
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4463123
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,19605568
Croatia,HRV,"Population, total",SP.POP.TOTL,4309705
Cuba,CUB,"Population, total",SP.POP.TOTL,11236975
Curacao,CUW,"Population, total",SP.POP.TOTL,145880
Cyprus,CYP,"Population, total",SP.POP.TOTL,1081568
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10384603
Denmark,DNK,"Population, total",SP.POP.TOTL,5493621
Djibouti,DJI,"Population, total",SP.POP.TOTL,816361
Dominica,DMA,"Population, total",SP.POP.TOTL,70829
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,9458079
Ecuador,ECU,"Population, total",SP.POP.TOTL,14535740
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,79636081
El Salvador,SLV,"Population, total",SP.POP.TOTL,6131767
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,860839
Eritrea,ERI,"Population, total",SP.POP.TOTL,3062782
Estonia,EST,"Population, total",SP.POP.TOTL,1337090
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1049948
Ethiopia,ETH,"Population, total",SP.POP.TOTL,82916236
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,47822
Fiji,FJI,"Population, total",SP.POP.TOTL,845356
Finland,FIN,"Population, total",SP.POP.TOTL,5313399
France,FRA,"Population, total",SP.POP.TOTL,64374979
French Polynesia,PYF,"Population, total",SP.POP.TOTL,264064
Gabon,GAB,"Population, total",SP.POP.TOTL,1518538
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1689288
Georgia,GEO,"Population, total",SP.POP.TOTL,3848449
Germany,DEU,"Population, total",SP.POP.TOTL,82110097
Ghana,GHA,"Population, total",SP.POP.TOTL,23563832
Gibraltar,GIB,"Population, total",SP.POP.TOTL,33570
Greece,GRC,"Population, total",SP.POP.TOTL,11077841
Greenland,GRL,"Population, total",SP.POP.TOTL,56328
Grenada,GRD,"Population, total",SP.POP.TOTL,105457
Guam,GUM,"Population, total",SP.POP.TOTL,159037
Guatemala,GTM,"Population, total",SP.POP.TOTL,13739299
Guinea,GIN,"Population, total",SP.POP.TOTL,9738796
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1446936
Guyana,GUY,"Population, total",SP.POP.TOTL,746815
Haiti,HTI,"Population, total",SP.POP.TOTL,9646570
Honduras,HND,"Population, total",SP.POP.TOTL,7980955
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6957800
Hungary,HUN,"Population, total",SP.POP.TOTL,10038188
Iceland,ISL,"Population, total",SP.POP.TOTL,317414
India,IND,"Population, total",SP.POP.TOTL,1200669762
Indonesia,IDN,"Population, total",SP.POP.TOTL,235469755
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,72120608
Iraq,IRQ,"Population, total",SP.POP.TOTL,28385739
Ireland,IRL,"Population, total",SP.POP.TOTL,4489544
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83515
Israel,ISR,"Population, total",SP.POP.TOTL,7308800
Italy,ITA,"Population, total",SP.POP.TOTL,58826731
Jamaica,JAM,"Population, total",SP.POP.TOTL,2781869
Japan,JPN,"Population, total",SP.POP.TOTL,128063000
Jordan,JOR,"Population, total",SP.POP.TOTL,6556473
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,15776938
Kenya,KEN,"Population, total",SP.POP.TOTL,39791984
Kiribati,KIR,"Population, total",SP.POP.TOTL,98760
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,24310143
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,49054708
Kosovo,XKX,"Population, total",SP.POP.TOTL,1747383
Kuwait,KWT,"Population, total",SP.POP.TOTL,2656010
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,5318700
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6046630
Latvia,LVA,"Population, total",SP.POP.TOTL,2177322
Lebanon,LBN,"Population, total",SP.POP.TOTL,4764745
Lesotho,LSO,"Population, total",SP.POP.TOTL,1987130
Liberia,LBR,"Population, total",SP.POP.TOTL,3607863
Libya,LBY,"Population, total",SP.POP.TOTL,6058740
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,35469
Lithuania,LTU,"Population, total",SP.POP.TOTL,3198231
Luxembourg,LUX,"Population, total",SP.POP.TOTL,488650
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,515232
Madagascar,MDG,"Population, total",SP.POP.TOTL,19996476
Malawi,MWI,"Population, total",SP.POP.TOTL,13727899
Malaysia,MYS,"Population, total",SP.POP.TOTL,27236003
Maldives,MDV,"Population, total",SP.POP.TOTL,343448
Mali,MLI,"Population, total",SP.POP.TOTL,14113578
Malta,MLT,"Population, total",SP.POP.TOTL,409379
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,56166
Mauritania,MRT,"Population, total",SP.POP.TOTL,3296237
Mauritius,MUS,"Population, total",SP.POP.TOTL,1244121
Mexico,MEX,"Population, total",SP.POP.TOTL,110815272
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,103549
Moldova,MDA,"Population, total",SP.POP.TOTL,2867964
Monaco,MCO,"Population, total",SP.POP.TOTL,34860
Mongolia,MNG,"Population, total",SP.POP.TOTL,2631899
Montenegro,MNE,"Population, total",SP.POP.TOTL,616969
Morocco,MAR,"Population, total",SP.POP.TOTL,31536807
Mozambique,MOZ,"Population, total",SP.POP.TOTL,22276596
Myanmar,MMR,"Population, total",SP.POP.TOTL,49929642
Namibia,NAM,"Population, total",SP.POP.TOTL,2043382
Nauru,NRU,"Population, total",SP.POP.TOTL,9880
Nepal,NPL,"Population, total",SP.POP.TOTL,26666581
Netherlands,NLD,"Population, total",SP.POP.TOTL,16445593
New Caledonia,NCL,"Population, total",SP.POP.TOTL,242750
New Zealand,NZL,"Population, total",SP.POP.TOTL,4259800
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5667436
Niger,NER,"Population, total",SP.POP.TOTL,15250913
Nigeria,NGA,"Population, total",SP.POP.TOTL,150269622
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2067309
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,54621
Norway,NOR,"Population, total",SP.POP.TOTL,4768212
Oman,OMN,"Population, total",SP.POP.TOTL,2750956
Pakistan,PAK,"Population, total",SP.POP.TOTL,171648984
Palau,PLW,"Population, total",SP.POP.TOTL,18708
Panama,PAN,"Population, total",SP.POP.TOTL,3516204
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,6976200
Paraguay,PRY,"Population, total",SP.POP.TOTL,6081296
Peru,PER,"Population, total",SP.POP.TOTL,28562321
Philippines,PHL,"Population, total",SP.POP.TOTL,90901967
Poland,POL,"Population, total",SP.POP.TOTL,38125759
Portugal,PRT,"Population, total",SP.POP.TOTL,10558177
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3760866
Qatar,QAT,"Population, total",SP.POP.TOTL,1436670
Romania,ROU,"Population, total",SP.POP.TOTL,20537875
Russian Federation,RUS,"Population, total",SP.POP.TOTL,142742366
Rwanda,RWA,"Population, total",SP.POP.TOTL,9524532
Samoa,WSM,"Population, total",SP.POP.TOTL,183270
San Marino,SMR,"Population, total",SP.POP.TOTL,30434
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,171122
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,25888535
Senegal,SEN,"Population, total",SP.POP.TOTL,12004700
Serbia,SRB,"Population, total",SP.POP.TOTL,7350222
Seychelles,SYC,"Population, total",SP.POP.TOTL,86956
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,6133599
Singapore,SGP,"Population, total",SP.POP.TOTL,4839396
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,33964
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5379233
Slovenia,SVN,"Population, total",SP.POP.TOTL,2021316
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,503366
Somalia,SOM,"Population, total",SP.POP.TOTL,11397188
South Africa,ZAF,"Population, total",SP.POP.TOTL,49779472
South Sudan,SSD,"Population, total",SP.POP.TOTL,8736932
Spain,ESP,"Population, total",SP.POP.TOTL,45954106
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,19983984
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,48178
St. Lucia,LCA,"Population, total",SP.POP.TOTL,170011
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,36880
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,108401
Sudan,SDN,"Population, total",SP.POP.TOTL,33060844
Suriname,SUR,"Population, total",SP.POP.TOTL,517122
Sweden,SWE,"Population, total",SP.POP.TOTL,9219637
Switzerland,CHE,"Population, total",SP.POP.TOTL,7647675
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,20664037
Tajikistan,TJK,"Population, total",SP.POP.TOTL,7209924
Tanzania,TZA,"Population, total",SP.POP.TOTL,41853944
Thailand,THA,"Population, total",SP.POP.TOTL,66530980
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1055428
Togo,TGO,"Population, total",SP.POP.TOTL,6083417
Tonga,TON,"Population, total",SP.POP.TOTL,103384
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1314449
Tunisia,TUN,"Population, total",SP.POP.TOTL,10414425
Turkey,TUR,"Population, total",SP.POP.TOTL,70418612
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,4935765
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,31200
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10315
Uganda,UGA,"Population, total",SP.POP.TOTL,30431734
Ukraine,UKR,"Population, total",SP.POP.TOTL,46258189
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,7089486
United Kingdom,GBR,"Population, total",SP.POP.TOTL,61806995
United States,USA,"Population, total",SP.POP.TOTL,304093966
Uruguay,URY,"Population, total",SP.POP.TOTL,3340221
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,27302800
Vanuatu,VUT,"Population, total",SP.POP.TOTL,224700
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,27635827
Vietnam,VNM,"Population, total",SP.POP.TOTL,86243424
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,108397
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,3591977
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,21892149
Zambia,ZMB,"Population, total",SP.POP.TOTL,12848531
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,12379553
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,491173160
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,331772330
Arab World,ARB,"Population, total",SP.POP.TOTL,338395936
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,6878973
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,105001883
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,2820636607
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2177119138
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,1938057262
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,1913718217
Euro area,EMU,"Population, total",SP.POP.TOTL,334274725
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,880932055
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,394392601
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,436828065
European Union,EUU,"Population, total",SP.POP.TOTL,439876674
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,700030438
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,590590409
High income,HIC,"Population, total",SP.POP.TOTL,1138167727
IBRD only,IBD,"Population, total",SP.POP.TOTL,4340127558
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,5643704018
IDA blend,IDB,"Population, total",SP.POP.TOTL,434469632
IDA only,IDX,"Population, total",SP.POP.TOTL,869106828
IDA total,IDA,"Population, total",SP.POP.TOTL,1303576460
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2154348068
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,576783743
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,522729313
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,560624662
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,798563425
Low & middle income,LMY,"Population, total",SP.POP.TOTL,5591217271
Low income,LIC,"Population, total",SP.POP.TOTL,486468200
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2790205950
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,369823227
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,321168746
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,317576769
Middle income,MIC,"Population, total",SP.POP.TOTL,5104749071
North America,NAC,"Population, total",SP.POP.TOTL,337406357
Not classified,INX,"Population, total",SP.POP.TOTL,..
OECD members,OED,"Population, total",SP.POP.TOTL,1274522708
Other small states,OSS,"Population, total",SP.POP.TOTL,24762404
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2157454
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1064394135
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,691447634
Small states,SST,"Population, total",SP.POP.TOTL,33798831
South Asia,SAS,"Population, total",SP.POP.TOTL,1592010815
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1592010815
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,822945490
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,822858534
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,822945490
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2314543121
World,WLD,"Population, total",SP.POP.TOTL,6757020825
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 07/21/2021,,,,
